Timestamp,Filename,Predicted Family,Confidence
2025-02-06_20-22-30,2025-02-06_20-22-30_Lycaenidae.png,Lycaenidae,0.94
2025-02-06_20-24-40,2025-02-06_20-24-40_Lycaenidae.png,Lycaenidae,0.94
2025-02-06_20-25-13,2025-02-06_20-25-13_Lycaenidae.png,Lycaenidae,0.94
2025-02-07_12-00-00,2025-02-07_12-00-00_Lycaenidae.png,Lycaenidae,0.94
